engine_rpm, wheel_rpm, secondary_rpm, sheave_position, brake_position
0, 0.000000, 0.000000, -91, 0.000000
0, 0.000000, 0.000000, -90, 0.000000
0, 0.000000, 0.000000, -90, 0.000000
0, 0.000000, 0.000000, -90, 0.000000
0, 0.000000, 0.000000, -90, 0.000000
0, 0.000000, 0.000000, -90, 0.000000
0, 0.000000, 0.000000, -90, 0.000000
0, 0.000000, 0.000000, -90, 0.000000
0, 0.000000, 0.000000, -90, 0.000000
0, 0.000000, 0.000000, -90, 0.000000
0, 0.000000, 0.000000, -90, 0.000000
0, 0.000000, 0.000000, -90, 0.512375
0, 0.000000, 0.000000, -67, 0.556522
0, 0.000000, 0.000000, -66, 0.540468
0, 0.000000, 0.000000, -67, 0.551839
0, 0.000000, 0.000000, -69, 0.428094
0, 0.000000, 0.000000, -90, 0.566555
0, 0.000000, 0.000000, -91, 0.568562
0, 0.000000, 0.000000, -90, 0.567224
0, 0.000000, 0.000000, -89, 0.566555
0, 0.000000, 0.000000, -92, 0.556522
0, 0.000000, 0.000000, -89, 0.565886
0, 0.000000, 0.000000, -91, 0.561873
0, 0.000000, 0.000000, -91, 0.570569
0, 0.000000, 0.000000, -89, 0.566555
0, 0.000000, 0.000000, -91, 0.565886
0, 0.000000, 0.000000, -89, 0.567893
0, 0.000000, 0.000000, -90, 0.566555
0, 0.000000, 0.000000, -89, 0.564548
0, 0.000000, 0.000000, -90, 0.566555
0, 0.000000, 0.000000, -90, 0.563211
0, 0.000000, 0.000000, -91, 0.569231
0, 0.000000, 0.000000, -84, 0.565886
0, 0.000000, 0.000000, -91, 0.559197
0, 0.000000, 0.000000, -93, 0.564548
0, 0.000000, 0.000000, -91, 0.566555
0, 0.000000, 0.000000, -90, 0.560535
0, 0.000000, 0.000000, -90, 0.566555
0, 0.000000, 0.000000, -88, 0.000000
0, 0.000000, 0.000000, -90, 0.565217
0, 0.000000, 0.000000, -91, 0.566555
0, 0.000000, 0.000000, -88, 0.565217
0, 0.000000, 0.000000, -91, 0.571237
0, 0.000000, 0.000000, -87, 0.565886
0, 0.000000, 0.000000, -91, 0.555853
0, 0.000000, 0.000000, -88, 0.554515
0, 0.000000, 0.000000, -86, 0.565886
0, 0.000000, 0.000000, -89, 0.561873
0, 0.000000, 0.000000, -89, 0.559866
0, 0.000000, 0.000000, -91, 0.564548
0, 0.000000, 0.000000, -91, 0.462876
0, 0.000000, 0.000000, -90, 0.564548
0, 0.000000, 0.000000, -90, 0.566555
0, 0.000000, 0.000000, -90, 0.564548
0, 0.000000, 0.000000, -89, 0.566555
0, 0.000000, 0.000000, -90, 0.545151
0, 0.000000, 0.000000, -88, 0.558528
0, 0.000000, 0.000000, -91, 0.883612
0, 0.000000, 0.000000, -90, 0.565886
0, 0.000000, 0.000000, -89, 0.548495
