rpm,sheavePos
0, -90
0, -90
0, -90
0, -90
0, -90
0, -90
0, -90
0, -90
105, -90
1143, -90
1208, -90
1235, -90
1235, -90
1203, -90
1159, -90
1201, -90
1143, -90
1074, -90
1639, -90
2082, -75
2223, -45
2293, -43
2318, -41
2165, -44
2833, -19
2832, -18
2841, -6
2966, 5
3049, 5
3017, 2
2933, 4
3038, 10
3043, 13
3017, 19
2227, 8
1530, -100
1152, -90
1025, -91
1052, -90
1116, -91
1116, -90
1016, -91
1063, -91
722, -91
140, -91
0, -91
0, -91
0, -91
0, -91
0, -91
0, -91
0, -91
0, -91
0, -91
0, -91
0, -91
0, -91
0, -91
0, -91
0, -91
0, -91
0, -91
0, -91
0, -91
0, -91
0, -91
0, -91
0, -91
0, -91
0, -91
0, -91
0, -91
0, -91
0, -91
0, -91
0, -91
0, -91
0, -91
0, -91
0, -91
0, -91
0, -91
0, -91
0, -91
0, -91
0, -91
