time_us,engine_rpm,wheel_rpm,secondary_rpm,sheave_position,sheave_setpoint,pwm,brake_position
448126, 0.000000, 4655.195312, 0.000000, -90.000000, -90.000000, 0.000000, 0.000000
658787, 0.000000, 3749.981201, 0.000000, -90.000000, -90.000000, 0.000000, 0.000000
869867, 0.000000, 1279.863525, 0.000000, -90.000000, -90.000000, 0.000000, 0.000000
1072537, 0.000000, 297.029694, 0.000000, -82.000000, -90.000000, -72.000000, 0.000000
1293873, 0.000000, 375.000000, 0.000000, -77.000000, -90.000000, -98.000000, 0.000000
1494521, 0.000000, 300.000000, 0.000000, -96.000000, -90.000000, 60.360001, 0.000000
1705823, 0.000000, 374.996246, 0.000000, -94.000000, -90.000000, 29.440001, 0.000000
1916913, 0.000000, 74.627983, 0.000000, -85.000000, -90.000000, -35.680000, 0.000000
2127719, 0.000000, 0.000000, 0.000000, -93.000000, -90.000000, 31.580000, 0.000000
2330779, 0.000000, 0.000000, 0.000000, -90.000000, -90.000000, -1.320000, 0.000000
2533810, 0.000000, 0.000000, 0.000000, -89.000000, -90.000000, -4.100000, 0.000000
2736764, 0.000000, 0.000000, 0.000000, -89.000000, -90.000000, -7.860000, 0.000000
2939716, 0.000000, 0.000000, 0.000000, -88.000000, -90.000000, -14.600000, 0.000000
3150864, 0.000000, 0.000000, 0.000000, -91.000000, -90.000000, 12.920000, 0.000000
3352725, 10.713520, 0.000000, 0.000000, -89.000000, -90.000000, -6.960000, 0.000000
3563752, 26.783802, 0.000000, 0.000000, -89.000000, -90.000000, -7.360000, 0.000000
3764748, 26.783802, 0.000000, 0.000000, -89.000000, -90.000000, -7.760000, 0.000000
3975846, 32.724892, 0.000000, 0.000000, -89.000000, -90.000000, -8.000000, 0.000000
4178760, 32.724892, 0.000000, 0.000000, -89.000000, -90.000000, -8.000000, 0.000000
4391382, 10.908298, 0.000000, 0.000000, -89.000000, -90.000000, -8.000000, 0.000000
4591868, 32.727272, 0.000000, 0.000000, -89.000000, -90.000000, -8.000000, 0.000000
4802745, 65.456924, 0.000000, 0.000000, -89.000000, -90.000000, -8.000000, 0.000000
5005783, 65.456924, 0.000000, 0.000000, -89.000000, -90.000000, -8.000000, 0.000000
5216804, 38.183010, 0.000000, 0.000000, -89.000000, -90.000000, -8.000000, 0.000000
5419847, 32.727272, 0.000000, 0.000000, -89.000000, -90.000000, -8.000000, 0.000000
5630733, 32.727272, 0.000000, 0.000000, -89.000000, -90.000000, -8.000000, 0.000000
5833781, 0.000000, 0.000000, 0.000000, -89.000000, -90.000000, -8.000000, 0.000000
6036803, 0.000000, 0.000000, 0.000000, -89.000000, -90.000000, -8.000000, 0.000000
6239807, 0.000000, 0.000000, 0.000000, -89.000000, -90.000000, -8.000000, 0.000000
6442525, 0.000000, 0.000000, 0.000000, -89.000000, -90.000000, -8.000000, 0.000000
6652724, 0.000000, 0.000000, 0.000000, -89.000000, -90.000000, -8.000000, 0.000000
6853730, 0.000000, 0.000000, 0.000000, -89.000000, -90.000000, -8.000000, 0.000000
7066384, 0.000000, 0.000000, 0.000000, -89.000000, -90.000000, -8.000000, 0.000000
7266876, 0.000000, 0.000000, 0.000000, -89.000000, -90.000000, -8.000000, 0.000000
7467856, 0.000000, 0.000000, 0.000000, -89.000000, -90.000000, -8.000000, 0.000000
7679747, 0.000000, 0.000000, 0.000000, -89.000000, -90.000000, -8.000000, 0.000000
7880784, 0.000000, 0.000000, 0.000000, -89.000000, -90.000000, -8.000000, 0.000000
